+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+----------------+--------+-------+-------+------------+---------------+-----+
| i_category                                         | i_class                                            | i_brand                                            | i_product_name | d_year | d_qoy | d_moy | s_store_id | sumsales      | rk  |
+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+----------------+--------+-------+-------+------------+---------------+-----+
| Books                                              | arts                                               | amalgmaxi #12                                      | NULL           | NULL   | NULL  | NULL  | NULL       | 39849754.48   | 18  |
| Books                                              | arts                                               | amalgmaxi #2                                       | NULL           | NULL   | NULL  | NULL  | NULL       | 30076740.52   | 42  |
| Books                                              | arts                                               | amalgmaxi #4                                       | NULL           | NULL   | NULL  | NULL  | NULL       | 23493621.79   | 76  |
| Books                                              | arts                                               | amalgmaxi #6                                       | NULL           | NULL   | NULL  | NULL  | NULL       | 22275608.71   | 79  |
| Books                                              | arts                                               | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 148961941.96  | 12  |
| Books                                              | business                                           | importomaxi #12                                    | NULL           | NULL   | NULL  | NULL  | NULL       | 22067010.85   | 81  |
| Books                                              | business                                           | importomaxi #2                                     | NULL           | NULL   | NULL  | NULL  | NULL       | 23545031.85   | 75  |
| Books                                              | business                                           | importomaxi #4                                     | NULL           | NULL   | NULL  | NULL  | NULL       | 23593246.09   | 74  |
| Books                                              | business                                           | importomaxi #8                                     | NULL           | NULL   | NULL  | NULL  | NULL       | 19929336.32   | 96  |
| Books                                              | business                                           | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 122618924.18  | 17  |
| Books                                              | computers                                          | exportimaxi #10                                    | NULL           | NULL   | NULL  | NULL  | NULL       | 27520912.00   | 55  |
| Books                                              | computers                                          | exportimaxi #12                                    | NULL           | NULL   | NULL  | NULL  | NULL       | 26932572.61   | 56  |
| Books                                              | computers                                          | exportimaxi #2                                     | NULL           | NULL   | NULL  | NULL  | NULL       | 28515149.61   | 50  |
| Books                                              | computers                                          | exportimaxi #4                                     | NULL           | NULL   | NULL  | NULL  | NULL       | 26397456.56   | 62  |
| Books                                              | computers                                          | exportimaxi #6                                     | NULL           | NULL   | NULL  | NULL  | NULL       | 24660739.02   | 70  |
| Books                                              | computers                                          | exportimaxi #8                                     | NULL           | NULL   | NULL  | NULL  | NULL       | 31942688.33   | 36  |
| Books                                              | computers                                          | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 165969518.13  | 6   |
| Books                                              | cooking                                            | amalgunivamalg #10                                 | NULL           | NULL   | NULL  | NULL  | NULL       | 18998502.62   | 100 |
| Books                                              | cooking                                            | amalgunivamalg #12                                 | NULL           | NULL   | NULL  | NULL  | NULL       | 26252719.02   | 63  |
| Books                                              | cooking                                            | amalgunivamalg #4                                  | NULL           | NULL   | NULL  | NULL  | NULL       | 37735858.72   | 22  |
| Books                                              | cooking                                            | amalgunivamalg #6                                  | NULL           | NULL   | NULL  | NULL  | NULL       | 22568298.35   | 77  |
| Books                                              | cooking                                            | amalgunivamalg #8                                  | NULL           | NULL   | NULL  | NULL  | NULL       | 28019124.82   | 53  |
| Books                                              | cooking                                            | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 149283063.49  | 11  |
| Books                                              | entertainments                                     | edu packmaxi #10                                   | NULL           | NULL   | NULL  | NULL  | NULL       | 37223443.38   | 23  |
| Books                                              | entertainments                                     | edu packmaxi #12                                   | NULL           | NULL   | NULL  | NULL  | NULL       | 29335616.98   | 47  |
| Books                                              | entertainments                                     | edu packmaxi #2                                    | NULL           | NULL   | NULL  | NULL  | NULL       | 29191514.46   | 48  |
| Books                                              | entertainments                                     | edu packmaxi #4                                    | NULL           | NULL   | NULL  | NULL  | NULL       | 21982916.61   | 82  |
| Books                                              | entertainments                                     | edu packmaxi #8                                    | NULL           | NULL   | NULL  | NULL  | NULL       | 32116498.47   | 35  |
| Books                                              | entertainments                                     | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 167602264.99  | 5   |
| Books                                              | fiction                                            | scholarunivamalg #10                               | NULL           | NULL   | NULL  | NULL  | NULL       | 20246036.01   | 95  |
| Books                                              | fiction                                            | scholarunivamalg #12                               | NULL           | NULL   | NULL  | NULL  | NULL       | 26738000.31   | 57  |
| Books                                              | fiction                                            | scholarunivamalg #2                                | NULL           | NULL   | NULL  | NULL  | NULL       | 37821240.61   | 21  |
| Books                                              | fiction                                            | scholarunivamalg #6                                | NULL           | NULL   | NULL  | NULL  | NULL       | 28676268.87   | 49  |
| Books                                              | fiction                                            | scholarunivamalg #8                                | NULL           | NULL   | NULL  | NULL  | NULL       | 38447956.35   | 20  |
| Books                                              | fiction                                            | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 169246794.46  | 4   |
| Books                                              | history                                            | scholarmaxi #10                                    | NULL           | NULL   | NULL  | NULL  | NULL       | 35188894.69   | 26  |
| Books                                              | history                                            | scholarmaxi #12                                    | NULL           | NULL   | NULL  | NULL  | NULL       | 26038715.03   | 65  |
| Books                                              | history                                            | scholarmaxi #2                                     | NULL           | NULL   | NULL  | NULL  | NULL       | 34245289.35   | 27  |
| Books                                              | history                                            | scholarmaxi #6                                     | NULL           | NULL   | NULL  | NULL  | NULL       | 24957507.46   | 67  |
| Books                                              | history                                            | scholarmaxi #8                                     | NULL           | NULL   | NULL  | NULL  | NULL       | 35378693.64   | 25  |
| Books                                              | history                                            | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 170256991.00  | 2   |
| Books                                              | home repair                                        | importounivamalg #10                               | NULL           | NULL   | NULL  | NULL  | NULL       | 30892214.14   | 38  |
| Books                                              | home repair                                        | importounivamalg #12                               | NULL           | NULL   | NULL  | NULL  | NULL       | 20639682.67   | 92  |
| Books                                              | home repair                                        | importounivamalg #2                                | NULL           | NULL   | NULL  | NULL  | NULL       | 30492852.66   | 40  |
| Books                                              | home repair                                        | importounivamalg #4                                | NULL           | NULL   | NULL  | NULL  | NULL       | 26503412.42   | 59  |
| Books                                              | home repair                                        | importounivamalg #8                                | NULL           | NULL   | NULL  | NULL  | NULL       | 35567218.79   | 24  |
| Books                                              | home repair                                        | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 161897548.45  | 7   |
| Books                                              | mystery                                            | corpunivamalg #10                                  | NULL           | NULL   | NULL  | NULL  | NULL       | 27906471.80   | 54  |
| Books                                              | mystery                                            | corpunivamalg #12                                  | NULL           | NULL   | NULL  | NULL  | NULL       | 32262586.79   | 33  |
| Books                                              | mystery                                            | corpunivamalg #2                                   | NULL           | NULL   | NULL  | NULL  | NULL       | 21095125.53   | 89  |
| Books                                              | mystery                                            | corpunivamalg #4                                   | NULL           | NULL   | NULL  | NULL  | NULL       | 23777198.40   | 71  |
| Books                                              | mystery                                            | corpunivamalg #6                                   | NULL           | NULL   | NULL  | NULL  | NULL       | 23777079.52   | 72  |
| Books                                              | mystery                                            | corpunivamalg #8                                   | NULL           | NULL   | NULL  | NULL  | NULL       | 29609056.10   | 45  |
| Books                                              | mystery                                            | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 158427518.14  | 9   |
| Books                                              | parenting                                          | corpmaxi #10                                       | NULL           | NULL   | NULL  | NULL  | NULL       | 23672096.03   | 73  |
| Books                                              | parenting                                          | corpmaxi #12                                       | NULL           | NULL   | NULL  | NULL  | NULL       | 19425118.71   | 98  |
| Books                                              | parenting                                          | corpmaxi #4                                        | NULL           | NULL   | NULL  | NULL  | NULL       | 24882257.48   | 69  |
| Books                                              | parenting                                          | corpmaxi #6                                        | NULL           | NULL   | NULL  | NULL  | NULL       | 34004664.53   | 28  |
| Books                                              | parenting                                          | corpmaxi #8                                        | NULL           | NULL   | NULL  | NULL  | NULL       | 19076557.62   | 99  |
| Books                                              | parenting                                          | NULL                                               | NULL           | NULL   | NULL  | NULL  | NULL       | 139066555.59  | 16  |
| Books                                              | reference                                          | brandmaxi #12                                      | NULL           | NULL   | NULL  | NULL  | NULL       | 20856349.96   | 90  |
| Books                                              | reference                                          | brandmaxi #2                                       | NULL           | NULL   | NULL  | NULL  | NULL       | 21165168.74   | 88  |
| Books                                              | reference                                          | brandmaxi #4                                       | NULL           | NULL   | NULL  | NULL  | NULL       | 26154533.23   | 64  |
