+------------+---------------------+
| ca_zip     | sum(cs_sales_price) |
+------------+---------------------+
| 30001      | 800.71              |
| 30008      | 874.12              |
| 30059      | 22145.19            |
| 30069      | 23149.59            |
| 30116      | 2185.01             |
| 30125      | 509.24              |
| 30141      | 614.31              |
| 30150      | 19776.43            |
| 30162      | 31292.92            |
| 30169      | 22341.22            |
| 30191      | 18333.19            |
| 30216      | 1369.98             |
| 30268      | 2055.48             |
| 30296      | 1120.24             |
| 30302      | 935.39              |
| 30309      | 462.96              |
| 30319      | 2206.55             |
| 30330      | 477.86              |
| 30344      | 2608.91             |
| 30348      | 554.77              |
| 30369      | 343.63              |
| 30382      | 239.63              |
| 30399      | 26623.02            |
| 30408      | 601.70              |
| 30411      | 28682.97            |
| 30418      | 485.47              |
| 30419      | 925.44              |
| 30451      | 728.92              |
| 30492      | 3607.41             |
| 30499      | 18178.58            |
| 30519      | 1043.52             |
| 30525      | 1900.00             |
| 30534      | 20972.29            |
| 30540      | 1406.71             |
| 30587      | 34876.21            |
| 30589      | 1617.23             |
| 30618      | 1883.47             |
| 30631      | 2609.30             |
| 30634      | 1644.04             |
| 30635      | 2015.91             |
| 30702      | 489.12              |
| 30725      | 1020.11             |
| 30732      | 2824.56             |
| 30766      | 897.17              |
| 30852      | 473.52              |
| 30854      | 2964.92             |
| 30894      | 2028.34             |
| 30899      | 375.92              |
| 30919      | 156.67              |
| 30965      | 1989.75             |
| 31075      | 577.38              |
| 31083      | 1650.26             |
| 31087      | 13446.28            |
| 31143      | 904.18              |
| 31147      | 1074.87             |
| 31150      | 1493.68             |
| 31160      | 2653.65             |
| 31204      | 2024.66             |
| 31206      | 1585.06             |
| 31209      | 1972.95             |
| 31216      | 410.76              |
| 31229      | 146.29              |
| 31255      | 640.40              |
| 31289      | 19136.85            |
| 31387      | 14069.72            |
| 31398      | 463.32              |
| 31421      | 350.29              |
| 31423      | 836.09              |
| 31521      | 11757.98            |
| 31525      | 531.32              |
| 31529      | 1156.20             |
| 31545      | 603.31              |
| 31639      | 1643.73             |
| 31654      | 1039.72             |
| 31669      | 2149.13             |
| 31675      | 20065.73            |
| 31692      | 459.59              |
| 31711      | 26691.29            |
| 31715      | 424.08              |
| 31732      | 1123.01             |
| 31749      | 23715.52            |
| 31757      | 21184.83            |
| 31792      | 582.39              |
| 31824      | 890.68              |
| 31838      | 4559.35             |
| 31844      | 151.93              |
| 31852      | 425.67              |
| 31854      | 685.73              |
| 31904      | 12583.05            |
| 31933      | 17940.58            |
| 31934      | 746.53              |
| 31944      | 430.35              |
| 31952      | 36615.92            |
| 32037      | 1376.18             |
| 32106      | 2601.68             |
| 32123      | 1495.53             |
| 32150      | 6241.37             |
| 32205      | 1001.62             |
| 32219      | 1234.62             |
| 32244      | 1704.09             |
+------------+---------------------+
