+----------+----------------------------------------------------+---------------+----------------------------------------------------+-----------+
| brand_id | brand                                              | i_manufact_id | i_manufact                                         | ext_price |
+----------+----------------------------------------------------+---------------+----------------------------------------------------+-----------+
| 4002002  | importoedu pack #2                                 | 748           | eingeseation                                       | 324666.38 |
| 7012007  | importonameless #7                                 | 449           | n steseese                                         | 317136.43 |
| 6007007  | brandcorp #7                                       | 662           | ablecallycally                                     | 315967.06 |
| 3002002  | importoexporti #2                                  | 215           | antioughtable                                      | 313966.81 |
| 3001001  | amalgexporti #1                                    | 18            | eingought                                          | 303885.17 |
| 3003001  | exportiexporti #1                                  | 220           | barableable                                        | 303411.65 |
| 2003001  | exportiimporto #1                                  | 160           | barcallyought                                      | 300480.76 |
| 2001001  | amalgimporto #1                                    | 129           | n stableought                                      | 296496.06 |
| 6006001  | corpcorp #1                                        | 268           | eingcallyable                                      | 291464.34 |
| 2001001  | amalgimporto #1                                    | 157           | ationantiought                                     | 289699.63 |
| 3004002  | edu packexporti #2                                 | 83            | prieing                                            | 289284.09 |
| 10002008 | importounivamalg #8                                | 271           | oughtationable                                     | 288444.46 |
| 5001002  | amalgscholar #2                                    | 276           | callyationable                                     | 285129.17 |
| 5003002  | exportischolar #2                                  | 172           | ableationought                                     | 283152.94 |
| 8002007  | importonameless #7                                 | 562           | ablecallyanti                                      | 281037.13 |
| 2003001  | exportiimporto #1                                  | 325           | antiablepri                                        | 278529.04 |
| 6015006  | scholarbrand #6                                    | 294           | esen stable                                        | 276961.97 |
| 6005007  | scholarcorp #7                                     | 34            | esepri                                             | 276823.11 |
| 2002001  | importoimporto #1                                  | 157           | ationantiought                                     | 276621.94 |
| 9008005  | namelessmaxi #5                                    | 34            | esepri                                             | 276540.48 |
| 6009005  | maxicorp #5                                        | 474           | eseationese                                        | 276473.59 |
| 6011007  | amalgbrand #7                                      | 284           | eseeingable                                        | 275548.43 |
| 10010011 | univamalgamalg #11                                 | 97            | ationn st                                          | 275471.47 |
| 10007015 | brandunivamalg #15                                 | 56            | callyanti                                          | 274906.39 |
| 8002001  | importonameless #1                                 | 631           | oughtprically                                      | 274825.57 |
| 1002001  | importoamalg #1                                    | 876           | callyationeing                                     | 274779.09 |
| 1004001  | edu packamalg #1                                   | 622           | ableablecally                                      | 274467.44 |
| 4001001  | amalgedu pack #1                                   | 167           | ationcallyought                                    | 274397.47 |
| 7014007  | edu packnameless #7                                | 934           | eseprin st                                         | 274072.19 |
| 1004002  | edu packamalg #2                                   | 345           | antiesepri                                         | 273745.06 |
| 1003001  | exportiamalg #1                                    | 151           | oughtantiought                                     | 272170.47 |
| 4004002  | edu packedu pack #2                                | 204           | esebarable                                         | 271248.77 |
| 2002001  | importoimporto #1                                  | 692           | ablen stcally                                      | 268018.96 |
| 1004001  | edu packamalg #1                                   | 462           | ablecallyese                                       | 267872.88 |
| 1003002  | exportiamalg #2                                    | 19            | n stought                                          | 267844.31 |
| 8014002  | edu packmaxi #2                                    | 257           | ationantiable                                      | 267482.77 |
| 10013001 | exportiamalgamalg #1                               | 262           | ablecallyable                                      | 267292.66 |
| 3004002  | edu packexporti #2                                 | 173           | priationought                                      | 265987.14 |
| 4002001  | importoedu pack #1                                 | 534           | eseprianti                                         | 264730.70 |
| 10013002 | exportiamalgamalg #2                               | 60            | barcally                                           | 264690.27 |
| 8004005  | edu packnameless #5                                | 172           | ableationought                                     | 263522.50 |
| 3004001  | edu packexporti #1                                 | 357           | ationantipri                                       | 263473.67 |
| 10011002 | amalgamalgamalg #2                                 | 859           | n stantieing                                       | 262443.04 |
| 6016001  | corpbrand #1                                       | 664           | esecallycally                                      | 262264.16 |
