+---------+-------+------------------------+-------------+---------------+
| channel | item  | return_ratio           | return_rank | currency_rank |
+---------+-------+------------------------+-------------+---------------+
| catalog | 25931 | 0.00000000000000000000 | 1           | 171           |
| catalog | 7364  | 0.00000000000000000000 | 1           | 195           |
| catalog | 14909 | 0.00000000000000000000 | 1           | 285           |
| catalog | 1099  | 0.00000000000000000000 | 1           | 350           |
| catalog | 1382  | 0.00000000000000000000 | 1           | 520           |
| catalog | 21329 | 0.00000000000000000000 | 1           | 599           |
| catalog | 8372  | 0.00000000000000000000 | 1           | 665           |
| catalog | 6986  | 0.00000000000000000000 | 1           | 799           |
| catalog | 553   | 0.50000000000000000000 | 9           | 1             |
| catalog | 30668 | 0.50000000000000000000 | 9           | 1             |
| catalog | 26021 | 0.50574712643678160920 | 11          | 3             |
| catalog | 32666 | 0.51578947368421052632 | 12          | 4             |
| catalog | 28721 | 0.52564102564102564103 | 14          | 10            |
| catalog | 5309  | 0.52577319587628865979 | 15          | 5             |
| catalog | 10867 | 0.52808988764044943820 | 16          | 6             |
| catalog | 14084 | 0.53061224489795918367 | 17          | 7             |
| catalog | 10991 | 0.53333333333333333333 | 18          | 8             |
| catalog | 18863 | 0.53658536585365853659 | 19          | 9             |
| store   | 16385 | 0.00000000000000000000 | 1           | 12            |
| store   | 3715  | 0.00000000000000000000 | 1           | 14            |
| store   | 20774 | 0.00000000000000000000 | 1           | 57            |
| store   | 16388 | 0.00000000000000000000 | 1           | 76            |
| store   | 19483 | 0.00000000000000000000 | 1           | 230           |
| store   | 31097 | 0.60416666666666666667 | 6           | 1             |
| store   | 14606 | 0.63829787234042553191 | 7           | 2             |
| store   | 25676 | 0.67010309278350515464 | 8           | 3             |
| store   | 30551 | 0.68041237113402061856 | 9           | 4             |
| store   | 7028  | 0.68235294117647058824 | 10          | 5             |
| store   | 29474 | 0.68604651162790697674 | 11          | 6             |
| store   | 3235  | 0.70000000000000000000 | 12          | 7             |
| store   | 16166 | 0.70408163265306122449 | 13          | 8             |
| store   | 27293 | 0.70786516853932584270 | 14          | 9             |
| store   | 20201 | 0.70833333333333333333 | 15          | 10            |
| web     | 23231 | 0.00000000000000000000 | 1           | 101           |
| web     | 4343  | 0.00000000000000000000 | 1           | 227           |
| web     | 23599 | 0.00000000000000000000 | 1           | 234           |
| web     | 20993 | 0.47916666666666666667 | 4           | 1             |
| web     | 4334  | 0.48387096774193548387 | 5           | 2             |
| web     | 4429  | 0.50515463917525773196 | 6           | 3             |
| web     | 25538 | 0.52040816326530612245 | 7           | 4             |
| web     | 9575  | 0.52747252747252747253 | 8           | 5             |
| web     | 11870 | 0.53086419753086419753 | 9           | 6             |
| web     | 23879 | 0.53260869565217391304 | 10          | 7             |
| web     | 31913 | 0.53424657534246575342 | 11          | 8             |
| web     | 17725 | 0.53488372093023255814 | 12          | 9             |
| web     | 7585  | 0.53932584269662921348 | 13          | 10            |
+---------+-------+------------------------+-------------+---------------+
