Query 1, 7.42, 1.73, 1.73, 1.64, 1.83, 1.73
Query 2, 9.38, 4.81, 4.73, 5.13, 4.81, 4.7
Query 3, 6.33, 2.15, 2.58, 2.28, 2.15, 2.13
Query 4, 15.79, 15.64, 15.64, 15.62, 16.13, 15.63
Query 5, 10.91, 5.48, 5.37, 5.37, 5.37, 5.39
Query 6, 8.2, 3.75, 3.64, 3.74, 3.75, 3.75
Query 7, 5.71, 1.62, 1.72, 1.82, 1.72, 1.83
Query 8, 2.84, 2.83, 2.84, 2.83, 2.82, 2.84
Query 9, 16.57, 11.65, 11.64, 11.63, 11.63, 11.62
Query 10, 4.39, 4.16, 4.16, 4.35, 4.26, 4.26
Query 11, 8.47, 8.31, 8.31, 8.42, 8.36, 8.3
Query 12, 1.33, 1.42, 1.42, 1.42, 1.33, 1.32
Query 13, 9.83, 4.79, 4.89, 4.77, 4.89, 4.79
Query 14, 21.27, 21.21, 21.69, 21.17, 21.19, 21.13
Query 15, 2.34, 2.34, 2.34, 2.35, 2.34, 2.34
Query 16, 9.38, 3.95, 3.84, 3.85, 3.75, 3.85
Query 17, 5.48, 5.47, 5.35, 5.44, 5.45, 5.54
Query 18, 4.16, 4.14, 4.24, 4.14, 4.24, 4.34
Query 19, 3.07, 3.06, 3.06, 3.08, 3.21, 3.06
Query 20, 1.53, 1.52, 1.53, 1.53, 1.53, 1.62
Query 21, 8.28, 3.54, 3.46, 3.55, 3.44, 3.45
Query 22, 24.65, 25.12, 24.65, 24.14, 24.64, 24.64
Query 23, 16.14, 16.1, 16.09, 16.11, 16.1, 16.1
Query 24, 5.96, 5.86, 5.95, 6.04, 6.04, 5.95
Query 25, 5.24, 5.24, 5.24, 5.24, 5.34, 5.33
Query 26, 1.72, 1.62, 1.62, 1.63, 1.82, 1.82
Query 27, 1.93, 2.02, 1.92, 1.94, 1.93, 1.92
Query 28, 5.78, 5.76, 5.66, 5.77, 5.76, 5.78
Query 29, 5.14, 5.34, 5.34, 5.14, 5.13, 5.13
Query 30, 2.77, 2.78, 2.87, 2.97, 2.77, 2.97
Query 31, 7.69, 7.68, 7.78, 7.78, 7.78, 7.68
Query 32, 2.45, 2.44, 2.56, 2.66, 2.44, 2.44
Query 33, 4.69, 4.65, 4.58, 4.58, 4.54, 4.44
Query 34, 1.53, 1.42, 1.42, 1.42, 1.42, 1.42
Query 35, 4.66, 4.68, 4.7, 4.59, 4.67, 4.47
Query 36, 3.6, 3.7, 3.72, 3.6, 3.57, 3.57
Query 37, 2.32, 2.42, 2.32, 2.33, 2.42, 2.32
Query 38, 4.66, 4.76, 4.56, 4.55, 4.57, 4.75
Query 39, 4.95, 4.65, 4.75, 4.74, 4.65, 4.76
Query 40, 2.68, 2.79, 2.74, 2.74, 2.65, 2.64
Query 41, 1.22, 1.22, 1.22, 1.23, 1.22, 1.22
Query 42, 2.13, 2.13, 2.26, 2.13, 2.13, 2.23
Query 43, 2.74, 2.64, 2.75, 2.83, 2.73, 2.83
Query 44, 4.26, 4.28, 4.36, 4.26, 4.36, 4.27
Query 45, 3.44, 3.24, 3.24, 3.13, 3.14, 3.33
Query 46, 3.37, 3.39, 3.36, 3.38, 3.48, 3.49
Query 47, 10.69, 10.69, 10.64, 10.7, 10.71, 10.7
Query 48, 3.9, 3.78, 3.66, 3.66, 3.66, 3.56
Query 49, 4.99, 4.8, 4.77, 4.87, 4.86, 4.77
Query 50, 3.15, 3.15, 3.04, 3.14, 3.28, 3.14
Query 51, 5.68, 5.76, 5.86, 5.57, 5.78, 5.66
Query 52, 2.16, 2.24, 2.3, 2.15, 2.16, 2.14
Query 53, 1.83, 1.74, 1.72, 1.72, 1.72, 1.82
Query 54, 4.55, 4.44, 4.47, 4.44, 4.34, 4.44
Query 55, 2.16, 2.18, 2.18, 2.17, 2.14, 2.15
Query 56, 5.35, 5.35, 5.24, 5.54, 5.54, 5.34
Query 57, 7.81, 7.89, 7.8, 7.79, 7.79, 7.8
Query 58, 5.56, 5.45, 5.45, 5.45, 5.55, 5.45
Query 59, 4.88, 5.01, 4.88, 4.89, 4.88, 4.88
Query 60, 5.25, 5.34, 5.34, 5.24, 5.44, 5.44
Query 61, 2.66, 2.55, 2.55, 2.66, 2.65, 2.55
Query 62, 6.57, 2.46, 2.45, 2.57, 2.45, 2.45
Query 63, 1.82, 1.82, 1.73, 1.83, 1.72, 1.82
Query 64, 22.77, 17.1, 17.62, 17.12, 17.11, 17.11
Query 65, 3.85, 3.78, 3.97, 3.89, 3.87, 3.78
Query 66, 6.63, 2.68, 2.56, 2.75, 2.55, 2.65
Query 67, 17.14, 17.18, 17.18, 17.13, 17.13, 17.17
Query 68, 3.47, 3.52, 3.37, 3.36, 3.46, 3.51
