Query 1, 14.47, 13.05, 8.67, 8.57, 14.49, 11.46
Query 2, 55.04, 48.56, 47.39, 47.46, 53.53, 48.03
Query 3, 28.21, 22.62, 21.63, 21.62, 27.25, 22.11
Query 4, 197.6, 193.65, 193.49, 193.42, 195.64, 194.55
Query 5, 71.84, 70.43, 66.18, 65.26, 71.3, 69.26
Query 6, 31.08, 26.64, 27.11, 26.61, 30.05, 26.64
Query 7, 6.87, 7.1, 1.72, 1.62, 6.84, 5.22
Query 8, 29.13, 32.16, 31.6, 31.6, 24.61, 31.62
Query 9, 273.02, 275.08, 270.47, 267.4, 272.6, 271.67
Query 10, 44.23, 43.68, 44.21, 43.69, 44.22, 44.22
Query 11, 101.32, 98.37, 100.35, 99.3, 100.37, 98.37
Query 12, 1.55, 1.34, 1.33, 1.32, 1.55, 1.44
Query 13, 9.93, 4.61, 4.59, 4.57, 10.13, 4.62
Query 14, 368.75, 373.75, 369.72, 369.61, 365.77, 367.72
Query 15, 17.61, 17.14, 17.12, 17.1, 17.63, 17.6
Query 16, 66.17, 52.18, 53.18, 52.67, 65.09, 52.66
Query 17, 77.25, 71.21, 71.2, 70.24, 77.23, 71.22
Query 18, 4.26, 3.97, 3.94, 4.04, 4.37, 3.96
Query 19, 25.16, 24.66, 24.15, 27.62, 24.68, 24.64
Query 20, 1.64, 1.32, 1.32, 1.33, 1.52, 1.32
Query 21, 8.99, 8.88, 3.85, 3.85, 8.47, 9.3
Query 22, 44.15, 44.2, 44.14, 44.67, 43.68, 43.71
Query 23, 229.47, 246.46, 245.47, 245.46, 227.47, 244.49
Query 24, 36.64, 33.62, 33.6, 33.6, 35.62, 33.62
Query 25, 78.18, 72.2, 72.17, 72.16, 78.2, 72.21
Query 26, 1.82, 1.63, 1.82, 1.62, 1.92, 1.73
Query 27, 1.83, 1.63, 1.72, 1.72, 1.93, 1.65
Query 28, 111.25, 111.23, 111.23, 111.25, 111.26, 111.23
Query 29, 76.25, 67.2, 70.18, 70.21, 74.28, 70.16
Query 30, 4.8, 4.81, 4.8, 4.8, 5.0, 4.8
Query 31, 90.33, 90.29, 89.28, 88.3, 90.31, 87.29
Query 32, 30.13, 29.1, 29.61, 29.66, 29.63, 29.12
Query 33, 47.66, 47.14, 47.63, 46.64, 48.17, 46.13
Query 34, 1.63, 1.34, 1.32, 1.32, 1.63, 1.33
Query 35, 49.18, 50.22, 50.2, 50.16, 48.72, 49.69
Query 36, 41.24, 48.18, 48.7, 48.16, 41.2, 48.26
Query 37, 9.05, 8.85, 8.95, 8.95, 9.06, 8.95
Query 38, 52.68, 53.68, 50.67, 50.2, 53.17, 50.16
Query 39, 7.28, 6.69, 6.56, 6.58, 7.28, 6.57
Query 40, 21.62, 20.62, 20.63, 20.62, 21.12, 20.12
Query 41, 1.33, 1.33, 1.24, 1.33, 1.33, 1.22
Query 42, 22.09, 22.09, 22.1, 22.08, 22.1, 21.59
Query 43, 30.15, 31.14, 31.12, 31.1, 30.64, 30.63
Query 44, 73.18, 74.2, 73.21, 73.19, 74.2, 72.18
Query 45, 10.61, 9.99, 10.1, 10.61, 10.63, 10.08
Query 46, 28.15, 28.12, 27.62, 27.15, 27.61, 27.65
Query 47, 104.36, 100.33, 100.33, 99.35, 103.38, 99.33
Query 48, 3.37, 3.2, 3.19, 3.05, 3.36, 3.21
Query 49, 52.69, 51.69, 52.16, 51.14, 52.19, 50.19
Query 50, 32.15, 31.12, 31.13, 31.13, 32.15, 30.61
Query 51, 64.2, 69.19, 69.2, 69.2, 63.18, 69.2
Query 52, 22.13, 21.63, 21.63, 21.66, 22.13, 21.63
Query 53, 1.83, 1.54, 1.52, 1.32, 1.83, 1.53
Query 54, 4.95, 3.97, 4.15, 4.04, 5.0, 3.97
Query 55, 22.61, 21.63, 22.12, 21.61, 21.61, 21.61
Query 56, 48.64, 47.62, 47.64, 48.12, 48.63, 46.76
Query 57, 65.29, 62.24, 62.19, 61.24, 65.27, 61.23
Query 58, 49.68, 49.36, 48.69, 49.2, 50.22, 48.7
Query 59, 51.19, 50.18, 50.22, 50.18, 51.24, 49.26
Query 60, 48.65, 48.13, 48.13, 47.12, 48.65, 47.63
Query 61, 3.28, 2.59, 2.59, 2.7, 3.17, 2.56
Query 62, 23.79, 23.14, 22.6, 22.6, 23.5, 22.62
Query 63, 1.83, 1.52, 1.53, 1.52, 1.83, 1.42
Query 64, 78.28, 71.39, 67.19, 68.19, 75.79, 72.43
Query 65, 47.12, 46.14, 46.14, 45.62, 47.13, 45.62
Query 66, 7.9, 2.29, 2.16, 2.17, 6.76, 2.28
Query 67, 278.5, 367.56, 367.57, 367.53, 277.46, 364.55
Query 68, 29.18, 29.17, 28.67, 28.65, 29.17, 29.2
Query 69, 45.18, 44.66, 45.68, 44.18, 45.2, 44.2
Query 70, 72.2, 98.21, 72.18, 72.18, 73.19, 71.21
Query 71, 1.72, 1.52, 1.52, 1.53, 1.72, 1.52
Query 72, 50.64, 25.59, 25.58, 25.59, 49.63, 25.59
Query 73, 1.63, 1.32, 1.22, 1.23, 1.52, 1.32
Query 74, 77.26, 75.32, 75.29, 75.26, 76.27, 75.28
Query 75, 73.22, 69.18, 68.18, 68.18, 73.21, 68.18
Query 76, 41.71, 40.67, 40.69, 40.65, 41.19, 40.18
Query 77, 57.95, 57.71, 52.2, 52.18, 57.84, 54.87
Query 78, 101.3, 104.26, 104.3, 104.27, 101.29, 103.33
Query 79, 27.16, 27.12, 26.64, 27.16, 26.61, 26.66
Query 80, 67.23, 64.21, 64.2, 64.21, 69.21, 64.24
Query 81, 6.42, 6.72, 6.64, 6.34, 7.23, 6.2
Query 82, 28.59, 28.6, 28.1, 28.11, 28.09, 27.6
Query 83, 7.28, 6.49, 6.54, 6.58, 7.28, 6.49
Query 84, 5.18, 4.76, 4.81, 4.9, 5.06, 4.87
Query 85, 12.09, 11.58, 11.58, 11.58, 12.08, 11.07
Query 86, 12.16, 12.65, 12.66, 12.65, 11.64, 12.64
Query 87, 52.16, 50.65, 50.68, 52.68, 52.66, 51.16
Query 88, 160.33, 156.29, 155.31, 155.3, 159.31, 156.3
Query 89, 1.92, 1.62, 1.62, 1.72, 1.93, 1.62
Query 90, 14.61, 14.62, 14.58, 14.61, 14.57, 14.59
Query 91, 3.93, 3.34, 3.53, 3.43, 3.93, 3.73
Query 92, 15.08, 15.09, 14.58, 14.58, 15.08, 14.59
Query 93, 24.08, 23.6, 24.08, 24.08, 24.59, 24.08
Query 94, 22.11, 19.09, 19.1, 19.1, 22.62, 20.1
Query 95, 243.47, 243.7, 242.86, 245.43, 243.52, 243.43
Query 96, 24.79, 47.62, 20.09, 20.09, 20.61, 20.09
Query 97, 54.0, 47.16, 47.66, 47.67, 48.17, 48.17
Query 98, 6.72, 1.42, 1.43, 1.42, 1.25, 1.42
Query 99, 46.1, 43.18, 42.69, 42.68, 42.67, 42.17
