+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+---------------+
| i_product_name                                     | i_brand                                            | i_class                                            | i_category                                         | qoh           |
+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+---------------+
| antianticallycallyanti                             | edu packedu pack #2                                | athletic                                           | Shoes                                              | 439.631268437 |
| antianticallycallyanti                             | edu packedu pack #2                                | athletic                                           | NULL                                               | 439.631268437 |
| antianticallycallyanti                             | edu packedu pack #2                                | NULL                                               | NULL                                               | 439.631268437 |
| antianticallycallyanti                             | NULL                                               | NULL                                               | NULL                                               | 439.631268437 |
| n stn stbarcallyought                              | corpmaxi #8                                        | parenting                                          | Books                                              | 444.348082596 |
| n stn stbarcallyought                              | corpmaxi #8                                        | parenting                                          | NULL                                               | 444.348082596 |
| n stn stbarcallyought                              | corpmaxi #8                                        | NULL                                               | NULL                                               | 444.348082596 |
| n stn stbarcallyought                              | NULL                                               | NULL                                               | NULL                                               | 444.348082596 |
| pricallyeseoughtese                                | importoamalg #2                                    | fragrances                                         | Women                                              | 445.874285714 |
| pricallyeseoughtese                                | importoamalg #2                                    | fragrances                                         | NULL                                               | 445.874285714 |
| pricallyeseoughtese                                | importoamalg #2                                    | NULL                                               | NULL                                               | 445.874285714 |
| pricallyeseoughtese                                | NULL                                               | NULL                                               | NULL                                               | 445.874285714 |
| n stbarantiablepri                                 | importoamalg #2                                    | fragrances                                         | Women                                              | 446.048571429 |
| n stbarantiablepri                                 | importoamalg #2                                    | fragrances                                         | NULL                                               | 446.048571429 |
| n stbarantiablepri                                 | importoamalg #2                                    | NULL                                               | NULL                                               | 446.048571429 |
| n stbarantiablepri                                 | NULL                                               | NULL                                               | NULL                                               | 446.048571429 |
| n steseoughtoughtought                             | importonameless #10                                | baseball                                           | Sports                                             | 446.543103448 |
| n steseoughtoughtought                             | importonameless #10                                | baseball                                           | NULL                                               | 446.543103448 |
| n steseoughtoughtought                             | importonameless #10                                | NULL                                               | NULL                                               | 446.543103448 |
| n steseoughtoughtought                             | NULL                                               | NULL                                               | NULL                                               | 446.543103448 |
| n stbarationeseable                                | edu packedu pack #2                                | athletic                                           | Shoes                                              | 447.508571429 |
| n stbarationeseable                                | edu packedu pack #2                                | athletic                                           | NULL                                               | 447.508571429 |
| n stbarationeseable                                | edu packedu pack #2                                | NULL                                               | NULL                                               | 447.508571429 |
| n stbarationeseable                                | NULL                                               | NULL                                               | NULL                                               | 447.508571429 |
| oughtbarationese                                   | amalgexporti #2                                    | newborn                                            | Children                                           | 447.60518732  |
| oughtbarationese                                   | amalgexporti #2                                    | newborn                                            | NULL                                               | 447.60518732  |
| oughtbarationese                                   | amalgexporti #2                                    | NULL                                               | NULL                                               | 447.60518732  |
| oughtbarationese                                   | NULL                                               | NULL                                               | NULL                                               | 447.60518732  |
| antioughtn stoughtcally                            | corpamalgamalg #2                                  | wireless                                           | Electronics                                        | 447.666666667 |
| antioughtn stoughtcally                            | corpamalgamalg #2                                  | wireless                                           | NULL                                               | 447.666666667 |
| antioughtn stoughtcally                            | corpamalgamalg #2                                  | NULL                                               | NULL                                               | 447.666666667 |
| antioughtn stoughtcally                            | NULL                                               | NULL                                               | NULL                                               | 447.666666667 |
| n stcallycallyation                                | edu packbrand #6                                   | estate                                             | Jewelry                                            | 447.889212828 |
| n stcallycallyation                                | edu packbrand #6                                   | estate                                             | NULL                                               | 447.889212828 |
| n stcallycallyation                                | edu packbrand #6                                   | NULL                                               | NULL                                               | 447.889212828 |
| n stcallycallyation                                | NULL                                               | NULL                                               | NULL                                               | 447.889212828 |
| anticallyprieseese                                 | amalgscholar #2                                    | rock                                               | Music                                              | 447.925072046 |
| anticallyprieseese                                 | amalgscholar #2                                    | rock                                               | NULL                                               | 447.925072046 |
| anticallyprieseese                                 | amalgscholar #2                                    | NULL                                               | NULL                                               | 447.925072046 |
| anticallyprieseese                                 | NULL                                               | NULL                                               | NULL                                               | 447.925072046 |
| ationbarableeingought                              | exportiamalg #2                                    | maternity                                          | Women                                              | 448.555232558 |
| ationbarableeingought                              | exportiamalg #2                                    | maternity                                          | NULL                                               | 448.555232558 |
| ationbarableeingought                              | exportiamalg #2                                    | NULL                                               | NULL                                               | 448.555232558 |
| ationbarableeingought                              | NULL                                               | NULL                                               | NULL                                               | 448.555232558 |
| prin stn stantiought                               | exportiedu pack #2                                 | kids                                               | Shoes                                              | 448.722543353 |
| prin stn stantiought                               | exportiedu pack #2                                 | kids                                               | NULL                                               | 448.722543353 |
| prin stn stantiought                               | exportiedu pack #2                                 | NULL                                               | NULL                                               | 448.722543353 |
| prin stn stantiought                               | NULL                                               | NULL                                               | NULL                                               | 448.722543353 |
| oughtantipriantiable                               | edu packscholar #2                                 | classical                                          | Music                                              | 449.105113636 |
| oughtantipriantiable                               | edu packscholar #2                                 | classical                                          | NULL                                               | 449.105113636 |
