+---------+------------+-----------+-------------+----------------+------------------+
| item_sk | d_date     | web_sales | store_sales | web_cumulative | store_cumulative |
+---------+------------+-----------+-------------+----------------+------------------+
| 5       | 2001-01-01 | 194.57    | 68.48       | 194.57         | 68.48            |
| 5       | 2001-01-02 | 290.35    | NULL        | 290.35         | 68.48            |
| 5       | 2001-01-03 | NULL      | 106.84      | 290.35         | 106.84           |
| 5       | 2001-01-04 | NULL      | 106.84      | 290.35         | 106.84           |
| 5       | 2001-01-05 | 331.43    | NULL        | 331.43         | 106.84           |
| 5       | 2001-01-06 | NULL      | 249.90      | 331.43         | 249.90           |
| 5       | 2001-01-07 | NULL      | 290.68      | 331.43         | 290.68           |
| 15      | 2001-01-01 | 168.09    | 74.07       | 168.09         | 74.07            |
| 15      | 2001-01-02 | NULL      | 95.14       | 168.09         | 95.14            |
| 15      | 2001-01-03 | NULL      | 151.45      | 168.09         | 151.45           |
| 15      | 2001-01-04 | NULL      | 163.04      | 168.09         | 163.04           |
| 21      | 2001-01-01 | 35.89     | 35.11       | 35.89          | 35.11            |
| 21      | 2001-01-06 | 221.93    | NULL        | 221.93         | 211.65           |
| 21      | 2001-01-08 | 302.35    | 294.03      | 302.35         | 294.03           |
| 23      | 2001-01-15 | 660.12    | 649.30      | 660.12         | 649.30           |
| 23      | 2001-01-16 | 733.50    | 685.58      | 733.50         | 685.58           |
| 25      | 2001-01-01 | 224.42    | 122.38      | 224.42         | 122.38           |
| 25      | 2001-01-02 | NULL      | 212.89      | 224.42         | 212.89           |
| 29      | 2001-01-01 | 272.64    | 75.25       | 272.64         | 75.25            |
| 31      | 2001-01-04 | 78.54     | NULL        | 78.54          | 72.65            |
| 33      | 2001-01-07 | 243.19    | NULL        | 243.19         | 208.56           |
| 53      | 2001-01-03 | 246.91    | 190.28      | 246.91         | 190.28           |
| 53      | 2001-01-04 | NULL      | 229.14      | 246.91         | 229.14           |
| 53      | 2001-01-15 | 519.66    | NULL        | 519.66         | 514.45           |
| 53      | 2001-01-16 | 630.97    | NULL        | 630.97         | 514.45           |
| 53      | 2001-02-08 | 1869.86   | NULL        | 1869.86        | 1761.47          |
| 61      | 2001-01-05 | 341.61    | NULL        | 341.61         | 249.12           |
| 61      | 2001-01-06 | 363.86    | NULL        | 363.86         | 249.12           |
| 61      | 2001-01-07 | NULL      | 280.43      | 363.86         | 280.43           |
| 61      | 2001-01-08 | NULL      | 304.11      | 363.86         | 304.11           |
| 67      | 2001-01-02 | 131.00    | 104.19      | 131.00         | 104.19           |
| 67      | 2001-01-05 | 220.39    | 204.35      | 220.39         | 204.35           |
| 67      | 2001-01-06 | NULL      | 216.06      | 220.39         | 216.06           |
| 69      | 2001-01-11 | 421.41    | NULL        | 421.41         | 282.43           |
| 69      | 2001-01-12 | NULL      | 336.26      | 421.41         | 336.26           |
| 69      | 2001-01-13 | 425.10    | NULL        | 425.10         | 336.26           |
| 69      | 2001-01-16 | 438.76    | NULL        | 438.76         | 425.20           |
| 73      | 2001-01-01 | 155.53    | 47.68       | 155.53         | 47.68            |
| 73      | 2001-01-02 | NULL      | 76.86       | 155.53         | 76.86            |
| 73      | 2001-01-03 | NULL      | 105.31      | 155.53         | 105.31           |
| 73      | 2001-01-04 | NULL      | 109.71      | 155.53         | 109.71           |
| 77      | 2001-01-01 | 283.59    | 61.85       | 283.59         | 61.85            |
| 77      | 2001-01-02 | NULL      | 167.49      | 283.59         | 167.49           |
| 77      | 2001-01-03 | NULL      | 185.96      | 283.59         | 185.96           |
| 81      | 2001-01-06 | 441.64    | 388.38      | 441.64         | 388.38           |
| 81      | 2001-01-08 | 499.47    | NULL        | 499.47         | 388.38           |
| 85      | 2001-01-01 | 299.93    | 290.70      | 299.93         | 290.70           |
| 85      | 2001-01-02 | 402.30    | 338.17      | 402.30         | 338.17           |
| 87      | 2001-01-01 | 170.38    | 62.31       | 170.38         | 62.31            |
| 87      | 2001-01-05 | NULL      | 149.02      | 170.38         | 149.02           |
| 87      | 2001-01-11 | 368.56    | 348.57      | 368.56         | 348.57           |
| 87      | 2001-01-12 | NULL      | 348.93      | 368.56         | 348.93           |
| 89      | 2001-01-07 | 234.46    | 170.40      | 234.46         | 170.40           |
| 93      | 2001-01-01 | 67.14     | 16.66       | 67.14          | 16.66            |
| 93      | 2001-01-02 | 74.93     | 45.80       | 74.93          | 45.80            |
| 101     | 2001-01-02 | 24.28     | NULL        | 24.28          | 22.64            |
| 103     | 2001-01-03 | 122.89    | NULL        | 122.89         | 111.36           |
| 111     | 2001-01-01 | 6.95      | 0.00        | 6.95           | 0.00             |
| 125     | 2001-01-01 | 288.86    | 235.25      | 288.86         | 235.25           |
| 125     | 2001-01-02 | NULL      | 276.68      | 288.86         | 276.68           |
| 125     | 2001-01-03 | NULL      | 284.51      | 288.86         | 284.51           |
| 125     | 2001-01-04 | 360.24    | NULL        | 360.24         | 284.51           |
| 125     | 2001-01-05 | NULL      | 356.51      | 360.24         | 356.51           |
| 125     | 2001-01-06 | 399.83    | NULL        | 399.83         | 356.51           |
