+----------------+-----------+-------+---------------+---------------+----------------+-----------+-------+---------------+---------------+
| w_warehouse_sk | i_item_sk | d_moy | mean          | cov           | w_warehouse_sk | i_item_sk | d_moy | mean          | cov           |
+----------------+-----------+-------+---------------+---------------+----------------+-----------+-------+---------------+---------------+
| 1              | 373       | 4     | 298.25        | 1.3249577029  | 1              | 373       | 5     | 352.75        | 1.13098686249 |
| 1              | 865       | 4     | 148.0         | 1.10599460607 | 1              | 865       | 5     | 195.25        | 1.30625808509 |
| 1              | 1675      | 4     | 165.0         | 1.11476442557 | 1              | 1675      | 5     | 369.0         | 1.33204655117 |
| 1              | 2779      | 4     | 322.0         | 1.10757434699 | 1              | 2779      | 5     | 333.333333333 | 1.08499815668 |
| 1              | 3016      | 4     | 313.4         | 1.19414264593 | 1              | 3016      | 5     | 441.0         | 1.05352899078 |
| 1              | 3626      | 4     | 340.2         | 1.01707300675 | 1              | 3626      | 5     | 252.0         | 1.08987163914 |
| 1              | 4456      | 4     | 362.4         | 1.06858039327 | 1              | 4456      | 5     | 386.75        | 1.15929099547 |
| 1              | 4580      | 4     | 323.5         | 1.00788125883 | 1              | 4580      | 5     | 307.0         | 1.0508710765  |
| 1              | 5786      | 4     | 298.0         | 1.06479529418 | 1              | 5786      | 5     | 337.0         | 1.1303885469  |
| 1              | 6890      | 4     | 391.6         | 1.22579454895 | 1              | 6890      | 5     | 464.666666667 | 1.02408351146 |
| 1              | 6968      | 4     | 355.5         | 1.20878637004 | 1              | 6968      | 5     | 289.75        | 1.19182107346 |
| 1              | 6998      | 4     | 390.666666667 | 1.23644704556 | 1              | 6998      | 5     | 363.25        | 1.16479934338 |
| 1              | 7792      | 4     | 447.8         | 1.00991682552 | 1              | 7792      | 5     | 306.0         | 1.0414484585  |
| 1              | 9526      | 4     | 236.0         | 1.0175536692  | 1              | 9526      | 5     | 409.75        | 1.00336901464 |
| 1              | 10076     | 4     | 219.2         | 1.27875804653 | 1              | 10076     | 5     | 474.0         | 1.1098891249  |
| 1              | 11146     | 4     | 138.75        | 1.01273229819 | 1              | 11146     | 5     | 316.0         | 1.08215201472 |
| 1              | 11482     | 4     | 339.8         | 1.01875708017 | 1              | 11482     | 5     | 270.25        | 1.26291859517 |
| 1              | 12092     | 4     | 241.4         | 1.24932189749 | 1              | 12092     | 5     | 356.333333333 | 1.11254550529 |
| 1              | 12614     | 4     | 306.2         | 1.05956078786 | 1              | 12614     | 5     | 239.0         | 1.13923355616 |
| 1              | 12652     | 4     | 211.0         | 1.24593181349 | 1              | 12652     | 5     | 379.5         | 1.00608738407 |
| 1              | 12982     | 4     | 272.4         | 1.2261149505  | 1              | 12982     | 5     | 360.5         | 1.12837622502 |
| 1              | 13486     | 4     | 294.8         | 1.10618662763 | 1              | 13486     | 5     | 285.75        | 1.15670071862 |
| 1              | 13538     | 4     | 334.8         | 1.0028581425  | 1              | 13538     | 5     | 383.666666667 | 1.26973592073 |
| 1              | 13738     | 4     | 398.5         | 1.09195684689 | 1              | 13738     | 5     | 269.5         | 1.10984660839 |
| 1              | 15932     | 4     | 380.6         | 1.05788027827 | 1              | 15932     | 5     | 343.333333333 | 1.17268854196 |
| 1              | 15997     | 4     | 319.8         | 1.2196693345  | 1              | 15997     | 5     | 349.5         | 1.00141562766 |
| 1              | 17446     | 4     | 364.4         | 1.09451136892 | 1              | 17446     | 5     | 286.25        | 1.18178600758 |
| 1              | 17533     | 4     | 378.8         | 1.02421305755 | 1              | 17533     | 5     | 438.75        | 1.06360934728 |
| 1              | 18400     | 4     | 306.25        | 1.03646040616 | 1              | 18400     | 5     | 287.0         | 1.16677751563 |
| 1              | 18478     | 4     | 319.4         | 1.1568631729  | 1              | 18478     | 5     | 350.75        | 1.22923167047 |
| 1              | 18692     | 4     | 316.6         | 1.09752245943 | 1              | 18692     | 5     | 309.25        | 1.11638267003 |
| 1              | 18856     | 4     | 422.6         | 1.01742479744 | 1              | 18856     | 5     | 305.333333333 | 1.0203756668  |
| 1              | 20702     | 4     | 284.5         | 1.01067572571 | 1              | 20702     | 5     | 299.25        | 1.2611565273  |
| 1              | 21421     | 4     | 307.6         | 1.24770678325 | 1              | 21421     | 5     | 289.75        | 1.05284608158 |
| 1              | 22897     | 4     | 294.4         | 1.36236046167 | 1              | 22897     | 5     | 499.0         | 1.03384673959 |
| 1              | 23917     | 4     | 315.8         | 1.22241235586 | 1              | 23917     | 5     | 483.5         | 1.00179554315 |
| 1              | 24800     | 4     | 336.0         | 1.1959972422  | 1              | 24800     | 5     | 160.5         | 1.28723907516 |
| 1              | 25064     | 4     | 297.8         | 1.08072382908 | 1              | 25064     | 5     | 322.0         | 1.20173495069 |
| 1              | 25088     | 4     | 330.2         | 1.05961619294 | 1              | 25088     | 5     | 367.0         | 1.05809350005 |
| 1              | 25922     | 4     | 328.333333333 | 1.05766583217 | 1              | 25922     | 5     | 316.0         | 1.05929969641 |
| 1              | 26686     | 4     | 329.6         | 1.12316838374 | 1              | 26686     | 5     | 382.0         | 1.08687619107 |
| 1              | 26690     | 4     | 384.5         | 1.20088615895 | 1              | 26690     | 5     | 290.75        | 1.24063122612 |
| 1              | 26929     | 4     | 369.25        | 1.17111990818 | 1              | 26929     | 5     | 340.0         | 1.05996262257 |
| 1              | 27070     | 4     | 279.0         | 1.24371468701 | 1              | 27070     | 5     | 305.25        | 1.3352687549  |
| 1              | 27397     | 4     | 393.0         | 1.02806382471 | 1              | 27397     | 5     | 403.25        | 1.0694694371  |
| 1              | 27404     | 4     | 315.6         | 1.0828452417  | 1              | 27404     | 5     | 416.5         | 1.01073398236 |
| 1              | 29312     | 4     | 307.4         | 1.29437561969 | 1              | 29312     | 5     | 163.0         | 1.23801796091 |
| 1              | 29656     | 4     | 234.0         | 1.58542976888 | 1              | 29656     | 5     | 251.0         | 1.02940066038 |
| 1              | 31390     | 4     | 302.75        | 1.11867930257 | 1              | 31390     | 5     | 322.25        | 1.15538765528 |
| 1              | 32020     | 4     | 359.4         | 1.02539000764 | 1              | 32020     | 5     | 392.75        | 1.06235833781 |
| 1              | 32131     | 4     | 333.4         | 1.05833058623 | 1              | 32131     | 5     | 404.0         | 1.27437752825 |
| 1              | 32450     | 4     | 358.8         | 1.00908682855 | 1              | 32450     | 5     | 462.0         | 1.0179406145  |
| 2              | 278       | 4     | 293.6         | 1.29895406884 | 2              | 278       | 5     | 310.25        | 1.04967530108 |
| 2              | 2318      | 4     | 305.4         | 1.24083254941 | 2              | 2318      | 5     | 366.666666667 | 1.04547549386 |
| 2              | 4490      | 4     | 262.4         | 1.03968276029 | 2              | 4490      | 5     | 314.0         | 1.31178881306 |
| 2              | 4774      | 4     | 349.2         | 1.1294145381  | 2              | 4774      | 5     | 481.0         | 1.00641310464 |
| 2              | 6028      | 4     | 337.0         | 1.0537175134  | 2              | 6028      | 5     | 319.0         | 1.10290786615 |
| 2              | 6142      | 4     | 325.8         | 1.02447107775 | 2              | 6142      | 5     | 426.25        | 1.05143019579 |
| 2              | 7414      | 4     | 386.8         | 1.00946122281 | 2              | 7414      | 5     | 355.5         | 1.10105534115 |
| 2              | 9211      | 4     | 262.4         | 1.03951860925 | 2              | 9211      | 5     | 164.0         | 1.05444913504 |
| 2              | 9602      | 4     | 243.4         | 1.29798708114 | 2              | 9602      | 5     | 351.25        | 1.00929549991 |
| 2              | 10690     | 4     | 216.6         | 1.24257518096 | 2              | 10690     | 5     | 398.0         | 1.12986572237 |
| 2              | 10708     | 4     | 304.2         | 1.12173773374 | 2              | 10708     | 5     | 174.75        | 1.13145049172 |
| 2              | 10742     | 4     | 251.2         | 1.03277252186 | 2              | 10742     | 5     | 208.666666667 | 1.45021971331 |
| 2              | 12502     | 4     | 224.0         | 1.70388691766 | 2              | 12502     | 5     | 150.75        | 1.22406035344 |
| 2              | 12772     | 4     | 118.0         | 1.08476231449 | 2              | 12772     | 5     | 497.0         | 1.28901155685 |
| 2              | 12832     | 4     | 140.0         | 1.31319830792 | 2              | 12832     | 5     | 262.0         | 1.56845617579 |
| 2              | 13549     | 4     | 388.5         | 1.03372298023 | 2              | 13549     | 5     | 503.0         | 1.0011054103  |
| 2              | 14353     | 4     | 288.25        | 1.10159095932 | 2              | 14353     | 5     | 485.0         | 1.34423186032 |
| 2              | 14665     | 4     | 375.0         | 1.03427999648 | 2              | 14665     | 5     | 340.5         | 1.3851401558  |
| 2              | 14863     | 4     | 253.0         | 1.00435708137 | 2              | 14863     | 5     | 363.25        | 1.01874684781 |
| 2              | 15220     | 4     | 321.0         | 1.07204042772 | 2              | 15220     | 5     | 398.666666667 | 1.04651382654 |
| 2              | 15721     | 4     | 294.6         | 1.06335893521 | 2              | 15721     | 5     | 399.0         | 1.02013530605 |
