+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+---------------+
| i_product_name                                     | i_brand                                            | i_class                                            | i_category                                         | qoh           |
+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+----------------------------------------------------+---------------+
| priableationought                                  | brandbrand #4                                      | decor                                              | Home                                               | 428.159663866 |
| priableationought                                  | brandbrand #4                                      | decor                                              | NULL                                               | 428.159663866 |
| priableationought                                  | brandbrand #4                                      | NULL                                               | NULL                                               | 428.159663866 |
| priableationought                                  | NULL                                               | NULL                                               | NULL                                               | 428.159663866 |
| priantibarn stable                                 | edu packamalg #2                                   | swimwear                                           | Women                                              | 429.016129032 |
| priantibarn stable                                 | edu packamalg #2                                   | swimwear                                           | NULL                                               | 429.016129032 |
| priantibarn stable                                 | edu packamalg #2                                   | NULL                                               | NULL                                               | 429.016129032 |
| priantibarn stable                                 | NULL                                               | NULL                                               | NULL                                               | 429.016129032 |
| ationcallyableeingought                            | edu packamalg #2                                   | swimwear                                           | Women                                              | 429.555102041 |
| ationcallyableeingought                            | edu packamalg #2                                   | swimwear                                           | NULL                                               | 429.555102041 |
| ationcallyableeingought                            | edu packamalg #2                                   | NULL                                               | NULL                                               | 429.555102041 |
| ationcallyableeingought                            | NULL                                               | NULL                                               | NULL                                               | 429.555102041 |
| prioughtableoughtable                              | maxiunivamalg #15                                  | televisions                                        | Electronics                                        | 430.341365462 |
| prioughtableoughtable                              | maxiunivamalg #15                                  | televisions                                        | NULL                                               | 430.341365462 |
| prioughtableoughtable                              | maxiunivamalg #15                                  | NULL                                               | NULL                                               | 430.341365462 |
| prioughtableoughtable                              | NULL                                               | NULL                                               | NULL                                               | 430.341365462 |
| oughtn stcallyable                                 | exportiexporti #2                                  | toddlers                                           | Children                                           | 430.515748031 |
| oughtn stcallyable                                 | exportiexporti #2                                  | toddlers                                           | NULL                                               | 430.515748031 |
| oughtn stcallyable                                 | exportiexporti #2                                  | NULL                                               | NULL                                               | 430.515748031 |
| oughtn stcallyable                                 | NULL                                               | NULL                                               | NULL                                               | 430.515748031 |
| ationcallyoughtoughtable                           | importoimporto #2                                  | shirts                                             | Men                                                | 432.197580645 |
| ationcallyoughtoughtable                           | importoimporto #2                                  | shirts                                             | NULL                                               | 432.197580645 |
| ationcallyoughtoughtable                           | importoimporto #2                                  | NULL                                               | NULL                                               | 432.197580645 |
| ationcallyoughtoughtable                           | NULL                                               | NULL                                               | NULL                                               | 432.197580645 |
| n stpriesebarable                                  | amalgbrand #10                                     | bathroom                                           | Home                                               | 434.1875      |
| n stpriesebarable                                  | amalgbrand #10                                     | bathroom                                           | NULL                                               | 434.1875      |
| n stpriesebarable                                  | amalgbrand #10                                     | NULL                                               | NULL                                               | 434.1875      |
| n stpriesebarable                                  | NULL                                               | NULL                                               | NULL                                               | 434.1875      |
