+--------+----------+----------------------------------------------------+------------+
| d_year | brand_id | brand                                              | ext_price  |
+--------+----------+----------------------------------------------------+------------+
| 1998   | 1004002  | edu packamalg #2                                   | 1909264.87 |
| 1998   | 5003001  | exportischolar #1                                  | 1724377.21 |
| 1998   | 1003001  | exportiamalg #1                                    | 1536285.48 |
| 1998   | 4003001  | exportiedu pack #1                                 | 1508323.70 |
| 1998   | 3003001  | exportiexporti #1                                  | 1480120.40 |
| 1998   | 2002001  | importoimporto #1                                  | 1476921.66 |
| 1998   | 4002001  | importoedu pack #1                                 | 1354684.14 |
| 1998   | 4004001  | edu packedu pack #1                                | 1349004.89 |
| 1998   | 1002001  | importoamalg #1                                    | 1314823.97 |
| 1998   | 2001002  | amalgimporto #2                                    | 1274652.70 |
| 1998   | 5001001  | amalgscholar #1                                    | 1244349.31 |
| 1998   | 2004002  | edu packimporto #2                                 | 1170831.38 |
| 1998   | 1004001  | edu packamalg #1                                   | 1069412.79 |
| 1998   | 4004002  | edu packedu pack #2                                | 1052390.88 |
| 1998   | 1001002  | amalgamalg #2                                      | 1026722.31 |
| 1998   | 3004001  | edu packexporti #1                                 | 1016850.63 |
| 1998   | 1002002  | importoamalg #2                                    | 997811.81  |
| 1998   | 3002001  | importoexporti #1                                  | 993191.39  |
| 1998   | 4001001  | amalgedu pack #1                                   | 988655.28  |
| 1998   | 3003002  | exportiexporti #2                                  | 985249.58  |
| 1998   | 5004001  | edu packscholar #1                                 | 981109.92  |
| 1998   | 5001002  | amalgscholar #2                                    | 962205.43  |
| 1998   | 1001001  | amalgamalg #1                                      | 955833.42  |
| 1998   | 2003001  | exportiimporto #1                                  | 906452.32  |
| 1998   | 4001002  | amalgedu pack #2                                   | 837909.25  |
| 1998   | 5002001  | importoscholar #1                                  | 814751.17  |
| 1998   | 2004001  | edu packimporto #1                                 | 784163.49  |
| 1998   | 3001001  | amalgexporti #1                                    | 759958.62  |
| 1998   | 3004002  | edu packexporti #2                                 | 745236.01  |
| 1998   | 1003002  | exportiamalg #2                                    | 724565.96  |
| 1998   | 2001001  | amalgimporto #1                                    | 724171.26  |
| 1998   | 5003002  | exportischolar #2                                  | 722944.04  |
| 1998   | 6005001  | scholarcorp #1                                     | 714673.60  |
| 1998   | 9011009  | amalgunivamalg #9                                  | 630595.02  |
| 1998   | 4002002  | importoedu pack #2                                 | 598015.52  |
| 1998   | 3002002  | importoexporti #2                                  | 581312.41  |
| 1998   | 10016001 | corpamalgamalg #1                                  | 578750.15  |
| 1998   | 9014011  | edu packunivamalg #11                              | 576937.09  |
| 1998   | 7001005  | amalgbrand #5                                      | 576285.54  |
| 1998   | 6008005  | namelesscorp #5                                    | 564670.42  |
| 1998   | 3001002  | amalgexporti #2                                    | 541665.37  |
