+--------------+------------+----------------+-------+-----------+----------------------+-------------------+----------------+---------------------------+------------------------+
| ss_sold_year | ss_item_sk | ss_customer_sk | ratio | store_qty | store_wholesale_cost | store_sales_price | other_chan_qty | other_chan_wholesale_cost | other_chan_sales_price |
+--------------+------------+----------------+-------+-----------+----------------------+-------------------+----------------+---------------------------+------------------------+
| 2000         | 5          | 79544          | 3.0   | 42        | 18.69                | 12.19             | 14             | 81.46                     | 114.95                 |
| 2000         | 11         | 284121         | 0.28  | 17        | 55.38                | 40.62             | 60             | 86.68                     | 131.27                 |
| 2000         | 11         | 344473         | 0.32  | 9         | 55.06                | 24.18             | 28             | 82.35                     | 213.66                 |
| 2000         | 13         | 8241           | 0.46  | 45        | 31.34                | 23.46             | 97             | 99.20                     | 131.54                 |
| 2000         | 13         | 144581         | 1.75  | 84        | 39.41                | 16.83             | 48             | 2.40                      | 2.91                   |
| 2000         | 14         | 80402          | NULL  | NULL      | 43.11                | 42.58             | 41             | 79.60                     | 73.78                  |
| 2000         | 14         | 132929         | 2.81  | 87        | 7.29                 | 0.85              | 31             | 83.67                     | 35.64                  |
| 2000         | 19         | 66514          | 0.5   | 13        | 11.47                | 1.34              | 26             | 54.98                     | 31.93                  |
| 2000         | 19         | 196523         | 0.44  | 33        | 75.16                | 30.75             | 75             | 21.96                     | 6.16                   |
| 2000         | 19         | 298110         | 5.63  | 45        | 99.51                | 128.14            | 8              | 5.99                      | 1.37                   |
| 2000         | 20         | 221317         | 0.22  | 12        | 29.03                | 12.19             | 55             | 56.20                     | 27.86                  |
| 2000         | 25         | 16915          | 10.83 | 65        | 39.63                | 65.00             | 6              | 2.30                      | 0.50                   |
| 2000         | 25         | 87566          | 2.31  | 81        | 49.64                | 56.56             | 35             | 16.29                     | 32.83                  |
| 2000         | 31         | 186679         | 1.68  | 84        | 8.47                 | 2.50              | 50             | 99.34                     | 50.50                  |
| 2000         | 32         | 168920         | 1.77  | 62        | 14.66                | 7.14              | 35             | 39.46                     | 66.70                  |
| 2000         | 32         | 170889         | 3.83  | 88        | 89.54                | 45.04             | 23             | 38.62                     | 37.30                  |
| 2000         | 35         | 322582         | 0.74  | 59        | 82.67                | 11.40             | 80             | 56.31                     | 35.94                  |
| 2000         | 41         | 297392         | 1.14  | 56        | NULL                 | 41.35             | 49             | 12.74                     | 9.54                   |
| 2000         | 43         | 31547          | 0.74  | 62        | 27.58                | 22.29             | 84             | 23.63                     | 25.00                  |
| 2000         | 55         | 93197          | 0.81  | 35        | 37.58                | 1.88              | 43             | 15.42                     | 42.91                  |
| 2000         | 56         | 64741          | 0.68  | 38        | 89.73                | 28.27             | 56             | 14.64                     | 11.33                  |
| 2000         | 59         | 232755         | 0.08  | 8         | 46.22                | 59.08             | 97             | 5.53                      | 9.65                   |
| 2000         | 61         | 162080         | 1.45  | 29        | 92.19                | 113.86            | 20             | 45.67                     | 30.27                  |
| 2000         | 61         | 188134         | 0.56  | 49        | 99.32                | 5.81              | 88             | 90.75                     | 8.60                   |
| 2000         | 61         | 319687         | 1.07  | 75        | 7.43                 | 7.94              | 70             | 37.41                     | 12.12                  |
| 2000         | 61         | 321645         | 0.09  | 9         | 99.90                | 137.55            | 98             | 7.42                      | 9.88                   |
| 2000         | 62         | 227928         | 0.29  | 18        | NULL                 | 7.23              | 63             | 26.82                     | 16.84                  |
| 2000         | 73         | 22668          | 4.89  | 88        | 56.47                | 42.43             | 18             | 39.36                     | 33.30                  |
